name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj_hoc,FDR,falsePos,WT_rep1,WT_rep2,SMC4KD_rep1,SMC4KD_rep2
PBANKA_1206300,2012.5,2802.4,1222.6,0.436348791436009,-1.19644629358382,6.04679592669139,1.17725164083718e-05,0.058521179066016,0.0042364958748677,0.0550744463732801,2652.7,2952.1,1126.5,1318.7
PBANKA_0911650,191.825,83.6,300.05,3.55867480659348,1.83134010470775,2.68285836213648,1.25409632602898e-05,0.0623285874036401,0.0042364958748677,0.0593109422481478,96.7,70.5,225.8,374.3
PBANKA_1454200,6628.1,9407,3849.2,0.409149120831223,-1.28930134298169,7.76635163209126,1.35802928558886e-05,0.0674804752009106,0.0042364958748677,0.0635474381230154,10638.7,8175.3,4021.7,3676.7
PBANKA_1406900,3803.775,5361,2246.55,0.419171118015545,-1.25438878004259,6.9649301970792,1.36030371258044e-05,0.0675798884409961,0.0042364958748677,0.0677839339978831,4598.6,6123.4,2398.9,2094.2
PBANKA_0212200,1267.425,1811.2,723.65,0.399900679312306,-1.32228636302748,5.37910142469383,1.92500788963329e-05,0.0956151418780854,0.00532722090443513,0.0905627553753972,1467.8,2154.6,757.3,690
PBANKA_1321600,2835.65,4040,1631.3,0.40374398263813,-1.30848733671008,6.5418080406519,2.02956041007114e-05,0.100787969964133,0.00532722090443513,0.0958899762798323,4580.5,3499.5,1967.1,1295.5
PBANKA_1438400,3956.15,5686.55,2225.75,0.391529014252895,-1.35280887251087,7.02134236361206,2.03125019434613e-05,0.100851572149285,0.00532722090443513,0.101217197184267,4209.9,7163.2,2147.4,2304.1
PBANKA_1434600,15188.3,21392.5,8984.1,0.419967220048892,-1.25165137013523,8.96246766035847,2.44934306262678e-05,0.121585389628793,0.00593407040565581,0.118681408113116,22418,20367,10102.3,7865.9
PBANKA_0935500,2459.2,3445.2,1473.2,0.427488723581274,-1.22604173020564,6.33649959059608,2.50081233230528e-05,0.124115316052311,0.00593407040565581,0.124615478518772,3976.7,2913.7,1620.2,1326.2
PBANKA_1245821,17.225,4.35,30.1,5.97721294498592,2.57947294132512,-0.586253403842043,2.84368571691674e-05,0.141103685273409,0.00644094814881642,0.141700859273961,7.2,1.5,24,36.2
PBANKA_0522600,3513.45,4862.35,2164.55,0.44527877363729,-1.16721925449237,6.85043683324776,3.35116254853313e-05,0.166251174032729,0.00726036651275677,0.166988429793406,4216.2,5508.5,2190.3,2138.8
PBANKA_1128500,3005.25,4177.2,1833.3,0.439025460486432,-1.18762348621466,6.62497610244321,3.57834214847072e-05,0.177485770564148,0.00742953288576234,0.178308789258296,3517.6,4836.8,1738.7,1927.9
PBANKA_1226100,5021.55,6928.85,3114.25,0.449500453205237,-1.15360552456117,7.36576735762369,3.98189808076337e-05,0.197462325825055,0.00793671925457754,0.198417981364439,6518.2,7339.5,3131.3,3097.2
PBANKA_1245920,46.125,77.15,15.1,0.194131577429436,-2.364893289069,0.670748586038909,5.31833418403552e-05,0.263683008844481,0.0100925166902523,0.262405433946561,117.5,36.8,17.2,13
PBANKA_0112661,46.375,84.2,8.55,0.103866633003506,-3.26719582978611,0.518001538798205,5.46855208984172e-05,0.271076127093454,0.0100925166902523,0.272497950636813,18.1,150.3,6.9,10.2
PBANKA_1306800,1507.6,2071.4,943.8,0.455784538396565,-1.13357611007561,5.63027530598858,5.6719220710266e-05,0.281100457840078,0.0100939955999734,0.282631876799255,1966.7,2176.1,995.1,892.5
PBANKA_1011500,2651.625,3588.15,1715.1,0.477996465497833,-1.06492814452151,6.44479510822436,9.13250837641628e-05,0.452515790051427,0.0156921687033387,0.455072892396823,3551,3625.3,1585.8,1844.4
PBANKA_0901900,55831.2,76708.4,34954,0.455672627591456,-1.13393038490144,10.8405203042806,0.000104554656470818,0.51796376815643,0.0173665284398028,0.520995853194084,79826.7,73590.1,35002.5,34905.5
PBANKA_0719500,2308.7,3103.75,1513.65,0.487667724774481,-1.0360296009811,6.24511242670483,0.000108796212669433,0.538867641351701,0.0174881137977995,0.542131527731784,3123.5,3084,1448.5,1578.8
PBANKA_1308000,10701.975,14610.1,6793.85,0.46502838005354,-1.10460933025141,8.45738494049855,0.000121773548188141,0.603022610627675,0.0187088530585078,0.598683297872251,14004.4,15215.8,7314.4,6273.3
PBANKA_1025300,1299.8,1775.05,824.55,0.464680310477811,-1.10568957889137,5.41648053447819,0.000123899689129191,0.613427360878624,0.0187088530585078,0.617392150930758,1703.7,1846.4,879.2,769.9
PBANKA_0505900,2213.675,2973.3,1454.05,0.489146340419002,-1.0316619466587,6.18438479087422,0.000131464360994798,0.650748586924248,0.0192672620834434,0.655086910837077,2848.8,3097.8,1554.1,1354
PBANKA_0801800,19916.15,27119.3,12713,0.468781513641555,-1.09301241655961,9.35341481668753,0.000135397002527951,0.670079765510827,0.0192766646741936,0.674683263596778,26714.6,27524,12191.3,13234.7
PBANKA_0604500,3540.35,4771.3,2309.4,0.484084121500205,-1.046670321921,6.86166578824071,0.000155372127720116,0.768781287959135,0.0207754328525273,0.747915582690982,4567.8,4974.8,2532,2086.8
PBANKA_0943100,2992.925,4017.15,1968.7,0.490013001923559,-1.02910806492119,6.61958426589248,0.000157415915277201,0.778736532876313,0.0207754328525273,0.768691015543509,4238.8,3795.5,1891.5,2045.9
PBANKA_1122700,2186.975,2918.85,1455.1,0.498564118946916,-1.0041490373288,6.16696707523841,0.000158431958337555,0.783604465937547,0.0207754328525273,0.789466448396036,2864.2,2973.5,1414.1,1496.1
PBANKA_1359300,1239.25,1698.85,779.65,0.459101122762028,-1.12311613462705,5.34739495706666,0.000179106478928234,0.885681538300117,0.022100591602932,0.861923072514348,1548.2,1849.5,681.7,877.6
PBANKA_1420500,3536.525,4753.85,2319.2,0.487972234020415,-1.03512903517439,6.85999944926594,0.000179966887972334,0.889756294135217,0.022100591602932,0.88402366411728,4261.4,5246.3,2336.2,2302.2
PBANKA_1237100,8511.525,11698.6,5324.45,0.455184474635797,-1.13547674363109,8.12691863741179,0.000181843117744373,0.898850531010437,0.022100591602932,0.906124255720211,9820.7,13576.5,4952.4,5696.5
PBANKA_1448200,2680.05,3582.7,1777.4,0.496183789640709,-1.01105349183553,6.46008777862049,0.000200373845231466,0.990247543133907,0.0237729254949618,0.998462870788398,3377.5,3787.9,1686.3,1868.5
PBANKA_1025500,3455.825,4617.8,2293.85,0.496774052155347,-1.00933827520265,6.82682710998248,0.000205547935564274,1,0.0238196596027157,1.02424536291677,4469.3,4766.3,2138.8,2448.9
PBANKA_1133100,21628.025,29253.7,14002.35,0.478648287870103,-1.0629621460749,9.47239779202413,0.000212630794102792,1,0.0238662951028736,1.05011698452644,30827,27680.4,14149.7,13855
PBANKA_0404000,1135.55,1543.45,727.65,0.471668199451277,-1.08415575931666,5.22155568121545,0.000215529456076523,1,0.0238662951028736,1.07398327962931,1430.7,1656.2,750.4,704.9
PBANKA_1361200,22902.675,31222.15,14583.2,0.467093978615184,-1.09821524764694,9.55495346390557,0.000224977986112107,1,0.0240969203529972,1.10845833623787,27157.5,35286.8,13844.1,15322.3
PBANKA_0519900,3780.95,5058.25,2503.65,0.494967685459461,-1.01459375464294,6.95663200075895,0.000227283816293571,1,0.0240969203529972,1.13255525659087,5216.8,4899.7,2675.4,2331.9
PBANKA_0406200,2377.875,3194.1,1561.65,0.48889140085514,-1.03241406498158,6.28788975982745,0.000240889057248906,1,0.0244396964639601,1.17310543027009,3410.1,2978.1,1773,1350.3
